iter	Passed	Remaining
0	1	162
1	3	153
2	4	145
3	5	131
4	6	124
5	7	117
6	8	110
7	9	108
8	10	106
9	11	104
10	12	101
11	13	99
12	14	99
13	16	99
14	17	98
15	18	96
16	19	96
17	20	94
18	21	92
19	22	91
20	24	90
21	25	89
22	26	88
23	27	86
24	28	85
25	29	84
26	30	83
27	31	81
28	32	80
29	33	78
30	34	77
31	35	75
32	36	74
33	37	72
34	38	71
35	39	70
36	40	68
37	41	67
38	42	66
39	43	65
40	44	64
41	45	62
42	46	61
43	47	59
44	48	58
45	48	57
46	49	56
47	51	55
48	51	54
49	52	52
50	53	51
51	54	50
52	56	49
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	42
61	66	40
62	67	39
63	68	38
64	69	37
65	71	36
66	72	35
67	73	34
68	75	33
69	76	32
70	77	31
71	79	30
72	80	29
73	81	28
74	82	27
75	84	26
76	85	25
77	86	24
78	88	23
79	89	22
80	91	21
81	92	20
82	93	19
83	94	18
84	95	16
85	96	15
86	98	14
87	99	13
88	101	12
89	103	11
90	104	10
91	105	9
92	106	8
93	107	6
94	108	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
